Year,Observed August SST,Forecast August SST (mean),Forecast August SST (std)
1900,17.145,16.908,0.157
1901,16.785,16.949,0.148
1902,16.055,15.479,0.147
1903,15.745,16.352,0.155
1904,17.144,16.721,0.160
1905,17.095,17.463,0.160
1906,17.175,16.528,0.161
1907,15.915,15.842,0.161
1908,16.484,17.039,0.167
1909,16.085,15.940,0.158
1910,16.265,16.988,0.161
1911,18.365,17.194,0.156
1912,15.854,17.310,0.166
1913,16.455,16.957,0.168
1914,17.475,17.301,0.168
1915,16.815,17.242,0.168
1916,16.764,16.087,0.169
1917,16.585,16.091,0.168
1918,16.635,16.455,0.168
1919,16.725,17.233,0.164
1920,16.184,17.306,0.163
1921,17.185,17.487,0.164
1922,16.275,17.300,0.160
1923,16.525,15.274,0.162
1924,16.084,16.613,0.163
1925,17.015,17.419,0.164
1926,17.115,16.698,0.166
1927,16.825,16.373,0.159
1928,16.964,16.317,0.159
1929,16.645,16.040,0.158
1930,17.005,17.911,0.149
1931,16.485,16.739,0.154
1932,17.884,16.770,0.154
1933,18.045,17.404,0.151
1934,17.195,17.062,0.154
1935,17.395,16.638,0.154
1936,16.834,16.951,0.154
1937,17.775,17.814,0.153
1938,17.175,16.867,0.153
1939,17.445,17.432,0.152
1940,16.864,16.775,0.148
1941,16.515,16.201,0.146
1942,17.015,17.283,0.141
1943,17.435,18.372,0.136
1944,17.834,16.758,0.144
1945,17.275,17.541,0.146
1946,17.215,17.109,0.147
1947,18.455,17.446,0.144
1948,16.984,17.214,0.149
1949,17.595,17.686,0.148
1950,17.455,17.733,0.149
1951,16.575,16.546,0.147
1952,17.574,17.710,0.149
1953,17.365,17.367,0.147
1954,16.515,17.174,0.135
1955,17.495,16.374,0.131
1956,15.664,15.950,0.133
1957,17.175,17.585,0.148
1958,16.755,16.583,0.147
1959,17.795,17.681,0.147
1960,16.924,17.938,0.143
1961,16.735,18.119,0.143
1962,15.905,15.867,0.144
1963,16.455,16.016,0.155
1964,16.894,17.132,0.158
1965,16.245,16.253,0.158
1966,16.785,17.559,0.162
1967,17.265,16.989,0.163
1968,16.424,16.928,0.159
1969,17.725,16.964,0.160
1970,16.885,17.377,0.161
1971,17.025,16.578,0.161
1972,16.254,16.380,0.158
1973,17.045,17.176,0.162
1974,16.655,16.692,0.155
1975,17.585,16.726,0.153
1976,17.844,17.489,0.153
1977,16.535,16.657,0.156
1978,16.335,16.930,0.149
1979,16.445,16.404,0.150
1980,16.834,17.024,0.148
1981,16.795,16.745,0.144
1982,17.455,17.682,0.143
1983,17.905,16.974,0.144
1984,16.824,15.877,0.146
1985,16.195,16.648,0.149
1986,16.465,16.572,0.148
1987,16.945,16.441,0.139
1988,16.884,17.254,0.138
1989,18.095,18.604,0.138
1990,17.995,17.707,0.150
1991,17.625,16.146,0.154
1992,17.564,18.745,0.153
1993,16.935,17.806,0.157
1994,18.345,17.693,0.154
1995,19.085,17.440,0.162
1996,17.474,16.943,0.170
1997,18.835,18.100,0.170
1998,17.925,18.530,0.181
1999,18.455,18.601,0.185
2000,17.754,18.275,0.193
2001,18.325,17.820,0.195
2002,18.815,18.757,0.197
2003,19.225,18.988,0.202
2004,18.444,18.853,0.215
2005,18.025,18.297,0.217
2006,18.455,18.295,0.218
2007,17.705,18.572,0.220
2008,17.664,18.099,0.217
2009,18.565,18.659,0.212
2010,17.605,17.479,0.207
2011,17.095,18.195,0.204
2012,17.804,17.610,0.201
2013,17.865,16.649,0.200
2014,18.155,19.074,0.203
2015,17.845,18.095,0.194